Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail
annual account union,prepare,financial year,for each financial year which shall run from 1 january to 31,"['financial year', '1 january']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",for each financial year which shall run from 1 january to 31
annual account union,comprise,article,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,"['follow', 'consolidated financial statement', 'accordance', 'accounting rule', 'article', 'consolidation', 'financial information', 'financial statement', 'union institution', 'union body', 'article', 'body', 'accounting consolidation criterion', 'aggregate budget implementation report', 'information', 'budget implementation report', 'union institution']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",the following : the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions
financial statement,present,article,in millions of euro and in accordance with the accounting rules referred to in article 80,"['million', 'euro', 'accordance', 'accounting rule', 'article']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements ,"[' \nThe financial statements shall be presented in millions of euro and in accordance with the accounting rules referred \nto in Article 80 and shall be comprised of: \n(a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the \npreceding financial year; \n(b) the statement of financial performance, which presents the economic result for the preceding financial year; \n(c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury \nposition; \n(d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves \nand accumulated results. \nL 193/146  \n\x0c ', ' \nThe notes to the financial statements shall supplement and comment on the information presented in the \nstatements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting \nrules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant \nto the activities of the Union. The notes shall contain at least the following information: \n(a) accounting principles, rules and methods; \n(b) explanatory notes supplying additional information not contained in the body of the financial statements, which is \nnecessary for a fair presentation of the accounts. ', ' \nThe accounting officer shall, after the close of the financial year and up to the date of transmission of the general \naccounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary \nfor a true and fair view of those accounts. \nS e c t i o n 2 \nB u d g e t i m p l e m e n t a t i o n r e p o r t s ']",in millions of euro and in accordance with the accounting rules referred to in article 80
financial statement,comprise,precede financial year,of: the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year the statement of financial performance which presents the economic result for the preceding financial year the cashflow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results,"['balance sheet', 'asset', 'liability', 'financial situation', '31 december', 'precede financial year', 'statement', 'financial performance', 'economic result', 'precede financial year', 'cashflow statement', 'amount', 'precede financial year', 'final treasury position', 'statement', 'change', 'net asset', 'overview', 'movement', 'financial year', 'reserve', 'accumulate result']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements ,"[' \nThe financial statements shall be presented in millions of euro and in accordance with the accounting rules referred \nto in Article 80 and shall be comprised of: \n(a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the \npreceding financial year; \n(b) the statement of financial performance, which presents the economic result for the preceding financial year; \n(c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury \nposition; \n(d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves \nand accumulated results. \nL 193/146  \n\x0c ', ' \nThe notes to the financial statements shall supplement and comment on the information presented in the \nstatements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting \nrules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant \nto the activities of the Union. The notes shall contain at least the following information: \n(a) accounting principles, rules and methods; \n(b) explanatory notes supplying additional information not contained in the body of the financial statements, which is \nnecessary for a fair presentation of the accounts. ', ' \nThe accounting officer shall, after the close of the financial year and up to the date of transmission of the general \naccounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary \nfor a true and fair view of those accounts. \nS e c t i o n 2 \nB u d g e t i m p l e m e n t a t i o n r e p o r t s ']",of : the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year the statement of financial performance which presents the economic result for the preceding financial year the cashflow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results
information,be,union,relevant to the activities of the union where,"['activity', 'union']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements ,"[' \nThe financial statements shall be presented in millions of euro and in accordance with the accounting rules referred \nto in Article 80 and shall be comprised of: \n(a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the \npreceding financial year; \n(b) the statement of financial performance, which presents the economic result for the preceding financial year; \n(c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury \nposition; \n(d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves \nand accumulated results. \nL 193/146  \n\x0c ', ' \nThe notes to the financial statements shall supplement and comment on the information presented in the \nstatements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting \nrules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant \nto the activities of the Union. The notes shall contain at least the following information: \n(a) accounting principles, rules and methods; \n(b) explanatory notes supplying additional information not contained in the body of the financial statements, which is \nnecessary for a fair presentation of the accounts. ', ' \nThe accounting officer shall, after the close of the financial year and up to the date of transmission of the general \naccounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary \nfor a true and fair view of those accounts. \nS e c t i o n 2 \nB u d g e t i m p l e m e n t a t i o n r e p o r t s ']",relevant to the activities of the union where
budget implementation report,present,euro,in millions of euro,"['million', 'euro']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports ,"[' \nThe budget implementation reports shall be presented in millions of euro and shall be comparable year by year. \nThey shall consist of: \n(a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; \n(b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in Decision \n2014/335/EU, Euratom; \n(c) explanatory notes, which shall supplement and comment on the information given in the reports. ', ' \nThe structure of the budget implementation reports shall be the same as that of the budget itself. ', ' \nThe budget implementation reports shall contain: \n(a) information on revenue, in particular changes in the revenue estimates, the revenue outturn and entitlements \nestablished; \n(b) information showing changes in the total commitment and payment appropriations available; \n(c) information showing the use made of the total commitment and payment appropriations available; \n(d) information showing commitments outstanding, those carried over from the preceding financial year and those made \nduring the financial year. ', ' \nAs regards information on revenue, a statement shall be attached to the budget implementation report showing, for \neach Member State, the breakdown of amounts of own resources still to be recovered at the end of the financial year and \ncovered by a recovery order. \nS e c t i o n 3 \nA n n u a l a c c o u n t s t i m e t a b l e ']",in millions of euro
budget implementation report,be,comparable year,comparable year by year,"['comparable year', 'year']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports ,"[' \nThe budget implementation reports shall be presented in millions of euro and shall be comparable year by year. \nThey shall consist of: \n(a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; \n(b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in Decision \n2014/335/EU, Euratom; \n(c) explanatory notes, which shall supplement and comment on the information given in the reports. ', ' \nThe structure of the budget implementation reports shall be the same as that of the budget itself. ', ' \nThe budget implementation reports shall contain: \n(a) information on revenue, in particular changes in the revenue estimates, the revenue outturn and entitlements \nestablished; \n(b) information showing changes in the total commitment and payment appropriations available; \n(c) information showing the use made of the total commitment and payment appropriations available; \n(d) information showing commitments outstanding, those carried over from the preceding financial year and those made \nduring the financial year. ', ' \nAs regards information on revenue, a statement shall be attached to the budget implementation report showing, for \neach Member State, the breakdown of amounts of own resources still to be recovered at the end of the financial year and \ncovered by a recovery order. \nS e c t i o n 3 \nA n n u a l a c c o u n t s t i m e t a b l e ']",comparable year by year
structure budget implementation report,be,budget,the same as that of the budget itself,['budget'],TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports ,"[' \nThe budget implementation reports shall be presented in millions of euro and shall be comparable year by year. \nThey shall consist of: \n(a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; \n(b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in Decision \n2014/335/EU, Euratom; \n(c) explanatory notes, which shall supplement and comment on the information given in the reports. ', ' \nThe structure of the budget implementation reports shall be the same as that of the budget itself. ', ' \nThe budget implementation reports shall contain: \n(a) information on revenue, in particular changes in the revenue estimates, the revenue outturn and entitlements \nestablished; \n(b) information showing changes in the total commitment and payment appropriations available; \n(c) information showing the use made of the total commitment and payment appropriations available; \n(d) information showing commitments outstanding, those carried over from the preceding financial year and those made \nduring the financial year. ', ' \nAs regards information on revenue, a statement shall be attached to the budget implementation report showing, for \neach Member State, the breakdown of amounts of own resources still to be recovered at the end of the financial year and \ncovered by a recovery order. \nS e c t i o n 3 \nA n n u a l a c c o u n t s t i m e t a b l e ']",the same as that of the budget itself
yearthe union institution commission body,refer,article,to in article 241,['article'],TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 245  Provisional accounts ,"[' \nThe accounting officers of the Union institutions other than the Commission and the bodies referred to in \nArticle 241 shall, by 1 March of the following financial year, send their provisional accounts to the accounting officer \nof the Commission and to the Court of Auditors. ', ' \nThe accounting officers of the Union institutions other than the Commission and the bodies referred to in \nArticle 241 shall, by 1 March of the following financial year, send the required accounting information for consolidation \npurposes to the accounting officer of the Commission, in the manner and format laid down by the latter. ', ' \nThe accounting officer of the Commission shall consolidate the provisional accounts referred to in paragraph 2 with \nthe provisional accounts of the Commission and shall, by 31 March of the following financial year, send the provisional \naccounts of the Commission and the consolidated provisional accounts of the Union to the Court of Auditors by \nelectronic means.   \x0c ']",to in article 241
follow financial year,send,accounting officer,the required accounting information for consolidation purposes to the accounting officer of the commissionthe commission in the manner and format laid down by the latter,"['require accounting information', 'consolidation purpose', 'accounting officer', 'commissionthe commission', 'manner', 'format']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 245  Provisional accounts ,"[' \nThe accounting officers of the Union institutions other than the Commission and the bodies referred to in \nArticle 241 shall, by 1 March of the following financial year, send their provisional accounts to the accounting officer \nof the Commission and to the Court of Auditors. ', ' \nThe accounting officers of the Union institutions other than the Commission and the bodies referred to in \nArticle 241 shall, by 1 March of the following financial year, send the required accounting information for consolidation \npurposes to the accounting officer of the Commission, in the manner and format laid down by the latter. ', ' \nThe accounting officer of the Commission shall consolidate the provisional accounts referred to in paragraph 2 with \nthe provisional accounts of the Commission and shall, by 31 March of the following financial year, send the provisional \naccounts of the Commission and the consolidated provisional accounts of the Union to the Court of Auditors by \nelectronic means.   \x0c ']",the required accounting information for consolidation purposes to the accounting officer of the commissionthe commission in the manner and format laid down by the latter
